,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),Class_cleaned,Order_transformed
197,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,730.0,730.0,31.0,,3.0,1.0,,57.6,,1362.0,0.188,30.7,wild,large,acceptable,,,,,,Birds,Accipitriformes
198,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,730.0,730.0,29.0,,5.0,1.0,,41.62,,980.64,,18.8,wild,small,acceptable,,,,,,Birds,Accipitriformes
199,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,365.0,365.0,33.0,,3.5,1.0,,35.0,,607.0,,22.4,wild,medium,acceptable,,,2.11,658.0,,Birds,Accipitriformes
200,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,365.0,365.0,25.0,,2.5,1.0,,28.0,,454.0,0.271,18.3,wild,small,acceptable,,,,,,Birds,Accipitriformes
201,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,730.0,730.0,32.0,,3.0,1.0,,51.6,,1500.0,0.171,23.7,wild,medium,acceptable,,,,,,Birds,Accipitriformes
203,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk,,,38.0,,1.0,,,35.0,,505.0,,17.0,wild,medium,acceptable,,,,,,Birds,Accipitriformes
204,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk,730.0,730.0,31.0,,3.0,1.0,,39.4,,980.64,0.158,24.9,wild,medium,acceptable,,,,,,Birds,Accipitriformes
205,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk,730.0,730.0,38.0,,1.5,1.0,,,,837.0,,13.5,wild,medium,acceptable,,,,,,Birds,Accipitriformes
207,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,gallicus,Short-toed eagle,1095.0,1095.0,,,,,,,,1699.5,,17.3,wild,medium,acceptable,,,,,,Birds,Accipitriformes
208,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Swamp harrier,730.0,730.0,,,,,,,,711.5,,20.1,wild,medium,acceptable,,,,,,Birds,Accipitriformes
209,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,365.0,365.0,31.0,,4.4,1.0,,23.8,,392.0,0.25,17.1,wild,medium,acceptable,,,,,,Birds,Accipitriformes
211,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier,730.0,730.0,,,,,,,,315.5,,16.3,wild,medium,acceptable,,,,,,Birds,Accipitriformes
213,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,,,30.0,,4.1,1.5,,17.4,,280.0,,6.0,wild,tiny,acceptable,,,,,,Birds,Accipitriformes
214,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle,,,,,,,,,,2447.5,,42.0,captivity,medium,acceptable,,,5.1887,2860.0,,Birds,Accipitriformes
